0.1,2014-08-08,
0.2,2014-08-24,16
0.3,2014-08-29,5
0.4,2014-08-29,0
1,2014-09-22,24
1.1,2014-09-23,1
1.1really,2014-09-23,0
1.2,2014-09-24,1
1.3,2014-09-25,1
1.4,2014-09-26,1
1.5,2014-09-27,1
1.7,2014-09-28,1
1.9,2014-10-03,5
1.1,2014-10-07,4
1.11,2014-10-07,0
1.13,2014-10-12,5
1.14,2014-10-13,1
1.15,2014-10-17,4
1.16,2014-10-19,2
1.17,2014-10-27,8
1.19b,2014-11-18,22
1.19c,2014-11-19,1
1.2,2014-11-19,0
1.21,2014-11-19,0
1.22,2014-11-20,1
1.24,2014-11-21,1
1.25,2014-11-23,2
1.26,2014-11-24,1
1.28,2014-12-04,10
1.3,2014-12-04,0
1.31,2014-12-07,3
1.32,2014-12-18,11
1.33,2015-01-08,21
1.34,2015-01-15,7
1.35,2015-01-17,2
1.36,2015-02-05,19
1.37,2015-02-09,4
1.39,2015-03-12,31
1.4,2015-03-17,5
1.41,2015-04-02,16
1.42,2015-04-03,1
1.43,2015-04-09,6
1.44,2015-04-21,12
1.45,2015-04-25,4
1.46,2015-05-14,19
1.47,2015-05-15,1
1.48,2015-05-16,1
1.49,2015-07-03,48
1.5,2015-07-08,5
1.51,2015-07-13,5
1.52,2015-07-15,2
1.53,2015-09-21,68
1.54,2015-12-24,94
1.55,2016-04-02,100
1.58,2016-04-03,1
Latest,2016-06-20,78